Company,Company Score,Job Title,Location,Date,Salary,job family,seniority,specialization,city,state,is_remote,data_not_available,country,date_since_posted,salary_min,salary_max
viewsoft,4.8,software engineer,"Manassas, VA",8d,68K - 94K,software engineer,not specified,,Manassas,VA,False,False,United States,8,68000.0,94000.0
workiva,4.3,software support engineer,Remote,2d,61K - 104K,software engineer,not specified,,,,True,False,United States,2,61000.0,104000.0
"garmin international, inc.",3.9,c# software engineer,"Cary, NC",2d,95K - 118K,software engineer,not specified,c#,Cary,NC,False,False,United States,2,95000.0,118000.0
snapchat,3.5,"software engineer, fullstack, 1+ years of experience","Los Angeles, CA",2d,97K - 145K,software engineer,junior,,Los Angeles,CA,False,False,United States,2,97000.0,145000.0
vitesco technologies group ag,3.1,software engineer,"Seguin, TX",2d,85K - 108K,software engineer,not specified,,Seguin,TX,False,False,United States,2,85000.0,108000.0
spotify,3.9,backend engineer ii,"New York, NY",1d,123K - 175K,software engineer,junior,backend,New York,NY,False,False,United States,1,123000.0,175000.0
infor,4.0,associate software engineer,"Alpharetta, GA",7d,77K - 94K,software engineer,not specified,,Alpharetta,GA,False,False,United States,7,77000.0,94000.0
amerisoft corporation,5.0,software developers,"Farmington Hills, MI",30d+,71K - 100K,software engineer,not specified,,Farmington Hills,MI,False,False,United States,30,71000.0,100000.0
whoop,3.3,"software engineer ii (backend, health)","Boston, MA",10d,94K - 148K,software engineer,junior,backend,Boston,MA,False,False,United States,10,94000.0,148000.0
pff,4.2,sr. software engineer,Remote,1d,147K - 189K,software engineer,senior,,,,True,False,United States,1,147000.0,189000.0
salesforce,4.1,mts software engineer,"San Francisco, CA",5d,90K - 113K,software engineer,not specified,,San Francisco,CA,False,False,United States,5,90000.0,113000.0
"healthmine services, inc.",3.8,software engineer,Remote,1d,54K - 79K,software engineer,not specified,,,,True,False,United States,1,54000.0,79000.0
honeywell,4.1,software engineer i,"Aguadilla, PR",2d,91K - 135K,software engineer,junior,,Aguadilla,PR,False,False,United States,2,91000.0,135000.0
